annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
Video,No budget,"Sven Arnstein,Peter Dean,Sanjeev Bhaskar",Sven Arnstein,3m,"Documentary,Short",English,,16,United Kingdom,2015,No Popularity Score,,Sven Arnstein,9.3,The Bare Bones of Unforgotten
Video,No budget,"Jérôme Wybon,Jean Rochefort,Jérôme Wybon",Jérôme Wybon,9m,"Documentary,Short",French,,0,France,2013,No Popularity Score,"May 15, 2013",Jérôme Wybon,0.0,De Cartouche au Cavaleur
Video,No budget,"Richard Curtis,Richard Curtis",Richard Curtis,24m,"Documentary,Short",English,,0,United Kingdom,2001,No Popularity Score,,Richard Curtis,0.0,An Interview with Richard Curtis
1977,"FRF 25,000,000 (estimated)","Claude Zidi,Writers,Michel Audiard",Claude Zidi,1h 31m,"Action,Comedy,Romance",French,,3.2K,France,Not Rated,No Popularity Score,"October 5, 1977",Claude Zidi,6.5,Animal
1927,No budget,"James W. Horne,Buster Keaton,Carl Harbaugh",James W. Horne,1h 6m,"Comedy,Drama,Sport",English,,5.5K,United States,Not Rated,No Popularity Score,"December 28, 1972",James W. Horne,6.9,College
Video,No budget,"Frédérique Dufaut-Humbert,Rémy Julienne,Stars",Frédérique Dufaut-Humbert,34m,"Documentary,Short,Action",French,,0,France,1998,No Popularity Score,1998,Frédérique Dufaut-Humbert,0.0,He does Bond: Rémy Julienne's Best Stunts
TV Special,No budget,"Gene Weed,Barry Adelman,Ken Shapiro",Gene Weed,0,News,English,,149,United States,1998,No Popularity Score,,Gene Weed,5.9,The 55th Annual Golden Globe Awards
1994,"$55,000,000 (estimated)","Robert Zemeckis,Winston Groom,Eric Roth",Robert Zemeckis,2h 22m,"Drama,Romance",English,,2.2M,United States,PG-13,250,September 1994,Robert Zemeckis,8.8,Forrest Gump
2004,No budget,"Todd Williams,Stars,F. Lee Bailey",Todd Williams,0,Documentary,English,,295,United States,1h 26m,No Popularity Score,,Todd Williams,6.5,The N Word
2018,No budget,"Francesco Zippel,Francesco Zippel,Stars",Francesco Zippel,1h 47m,"Documentary,Biography,History",English,,1.1K,Italy,Not Rated,No Popularity Score,"September 19, 2018",Francesco Zippel,7.1,Friedkin Uncut
1992,No budget,"Jörg Buttgereit,Franz Rodenkirchen,Monika M.",Jörg Buttgereit,0,Short,English,,0,Germany,28m,No Popularity Score,,Jörg Buttgereit,0.0,The Making of 'Nekromantik 2'
1950,No budget,"Walter Lang,Lamar Trotti,Frank B. Gilbreth Jr.",Walter Lang,1h 26m,"Comedy,Drama,Family",English,,5.7K,United States,Approved,No Popularity Score,"May 30, 1950",Walter Lang,7.0,Cheaper by the Dozen
TV Movie,No budget,"Shelley Lyons,Michael Matessino,Kevin Burns",Shelley Lyons,1h 31m,"Documentary,Comedy,Music",English,,70,United States,1997,No Popularity Score,,Shelley Lyons,7.9,Hidden Hollywood: Treasures from the 20th Century Fox Film Vaults
1942,"$1,000,000 (estimated)","George Stevens,Writers,Irwin Shaw",George Stevens,1h 58m,"Comedy,Drama,Romance",English,,9.1K,United States,Approved,No Popularity Score,"October 2, 1946",George Stevens,7.5,The Talk of the Town
1952,No budget,"Ken Annakin,Lawrence Edward Watkin,Stars",Ken Annakin,1h 24m,"Action,Adventure,Family",English,,2.3K,"United Kingdom,United States",Approved,No Popularity Score,"September 17, 1952",Ken Annakin,6.5,The Story of Robin Hood and His Merrie Men
2010,No budget,"Rubén Torrejón,Rubén Torrejón,Stars",Rubén Torrejón,0,"Short,Comedy",Spanish,,11,Spain,8m,No Popularity Score,,Rubén Torrejón,7.6,¿Quién es Florinda Bolkan?
1958,"£81,000 (estimated)","Terence Fisher,Jimmy Sangster,Bram Stoker",Terence Fisher,1h 22m,"Drama,Horror",English,,28K,United Kingdom,Not Rated,No Popularity Score,"February 4, 1959",Terence Fisher,7.2,Horror of Dracula
1994,"$45,000,000 (estimated)","Roger Allers,Rob Minkoff,Writers",Roger Allers,1h 28m,"Animation,Adventure,Drama","English,Swahili,Xhosa,Zulu",,1.1M,United States,G,346,"October 3, 1994",Roger Allers,8.5,The Lion King
1957,No budget,"Ralph Thomas,Writers,Hammond Innes",Ralph Thomas,0,"Adventure,Drama",English,,927,United Kingdom,1h 42m,No Popularity Score,"September 19, 1958",Ralph Thomas,6.3,Campbell's Kingdom
2004,"$155,000,000 (estimated)","Oliver Stone,Oliver Stone,Christopher Kyle",Oliver Stone,2h 55m,"Action,Biography,Drama",English,,176K,"United States,United Kingdom,Germany,Netherlands,France,Italy,Morocco,Thailand",R,"1,893","January 5, 2005",Oliver Stone,5.6,Alexander
1964,"£150,000 (estimated)","Terence Fisher,John Gilling,J. Llewellyn Devine",Terence Fisher,1h 23m,Horror,English,,6.8K,United Kingdom,Not Rated,No Popularity Score,"October 15, 1997",Terence Fisher,6.4,The Gorgon
Video,No budget,"Jeff Kurtti,Jeff Kurtti,Stars",Jeff Kurtti,0,"Documentary,Short",English,,45,United States,2001,No Popularity Score,"October 23, 2001",Jeff Kurtti,7.8,Disney Through the Decades
2000,"$95,000,000 (estimated)","Bibo Bergeron,Don Paul,Jeffrey Katzenberg",Bibo Bergeron,1h 29m,"Animation,Adventure,Comedy","English,Russian",,107K,"United States,Canada",PG,"4,412","October 25, 2000",Bibo Bergeron,6.9,The Road to El Dorado
2010,No budget,"Tony Kaplan,Erica Milsom,Stars",Tony Kaplan,0,"Documentary,Short",English,,0,United States,5m,No Popularity Score,,Tony Kaplan,0.0,The Making of Mater's Tall Tales
1931,"$529,000 (estimated)","Clarence Brown,Writers,Adela Rogers St. Johns",Clarence Brown,1h 33m,"Crime,Drama,Romance",English,,2.9K,United States,Passed,No Popularity Score,"October 7, 1932",Clarence Brown,6.6,A Free Soul
1953,No budget,"Friz Freleng,Warren Foster,Mel Blanc",Friz Freleng,7m,"Family,Animation,Short",English,,330,United States,Approved,No Popularity Score,,Friz Freleng,7.2,Ant Pasted
1979,No budget,"Directors,Chuck Jones,Phil Monroe",Directors,1h 38m,"Animation,Comedy,Family",English,,4.4K,United States,G,No Popularity Score,"July 11, 1980",Directors,7.2,The Bugs Bunny/Road-Runner Movie
2003,"$10,000 (estimated)","Joseph Barbera,Stars,Kathleen Barr",Joseph Barbera,46m,Animation,English,,47,United States,Not Rated,No Popularity Score,,Joseph Barbera,7.5,Tom and Jerry: Paws for a Holiday
1940,No budget,"Directors,Dave Fleischer,Willard Bowsky",Directors,7m,"Animation,Comedy,Short",English,,185,United States,Approved,No Popularity Score,,Directors,6.2,Doing Impossikible Stunts
TV Special,No budget,"Marshall Flaum,Marshall Flaum,Stars",Marshall Flaum,1h 34m,"Documentary,Animation",English,,86,United States,1989,No Popularity Score,,Marshall Flaum,7.5,A Yabba-Dabba-Doo Celebration!: 50 Years of Hanna-Barbera
1937,No budget,"Robert Clampett,Howard Baldwin,Ernest Gee",Robert Clampett,0,"Animation,Family,Short",English,,235,United States,7m,No Popularity Score,,Robert Clampett,6.8,Porky's Hero Agency
Video,No budget,"Stars,Mandy Ashford,Amy Birnbaum",Stars,Not Rated,"Documentary,Animation,Short","English,German,Portuguese",,0,United States,2001,No Popularity Score,,Stars,0.0,Pokémon Insider: The Video
2016,No budget,"Keitarô Motonaga,Akiyoshi Hongo,Stars",Keitarô Motonaga,1h 31m,"Animation,Action,Adventure",Japanese,,1.2K,Japan,Not Rated,No Popularity Score,"May 5, 2020",Keitarô Motonaga,7.5,Digimon Adventure Tri. Part 3: Confession
1954,"$175,000 (estimated)","Ishirô Honda,Writers,Takeo Murata",Ishirô Honda,1h 36m,"Horror,Sci-Fi",Japanese,,39K,Japan,Not Rated,"2,382","March 15, 1957",Ishirô Honda,7.5,Godzilla
2011,No budget,"Kunihiko Yuyama,Writers,Satoshi Tajiri",Kunihiko Yuyama,1h 28m,"Animation,Adventure,Drama",Japanese,,1.4K,Japan,Not Rated,No Popularity Score,"April 18, 2012",Kunihiko Yuyama,5.6,Pokémon the Movie: Black - Victini and Reshiram
1999,"$30,000,000 (estimated)","Kunihiko Yuyama,Satoshi Tajiri,Takeshi Shudô",Kunihiko Yuyama,1h 39m,"Animation,Action,Adventure",Japanese,,24K,"Japan,United States",G,No Popularity Score,"December 20, 2000",Kunihiko Yuyama,6.1,Pokémon the Movie 2000
1963,"$200,000 (estimated)","Ishirô Honda,Tom Montgomery,Writers",Ishirô Honda,1h 31m,"Action,Adventure,Fantasy",English,,11K,"Japan,United States",Not Rated,No Popularity Score,"July 7, 1976",Ishirô Honda,5.7,King Kong vs. Godzilla
2015,"$150,000,000 (estimated)","Colin Trevorrow,Writers,Rick Jaffa",Colin Trevorrow,2h 4m,"Action,Adventure,Sci-Fi",English,,678K,"United States,Canada",PG-13,620,"May 29, 2015",Colin Trevorrow,6.9,Jurassic World
1990,"$22,000,000 (estimated)","Jerry Zucker,Bruce Joel Rubin,Stars",Jerry Zucker,2h 7m,"Drama,Fantasy,Romance",English,,235K,United States,PG-13,990,"November 7, 1990",Jerry Zucker,7.1,Ghost
2012,"$250,000,000 (estimated)","Andrew Stanton,Writers,Andrew Stanton",Andrew Stanton,2h 12m,"Action,Adventure,Sci-Fi",English,,286K,United States,PG-13,"1,541","March 7, 2012",Andrew Stanton,6.6,John Carter
1954,No budget,"Lee Sholem,Philip MacDonald,Carl Dudley",Lee Sholem,1h 17m,"Adventure,Family,Sci-Fi",English,,931,United States,Approved,No Popularity Score,"August 21, 1957",Lee Sholem,5.2,Tobor the Great
TV Movie,"€1,500 (estimated)","Pedro González Bermúdez,Pedro González Bermúdez,Luis Bajo",Pedro González Bermúdez,0,Documentary,Spanish,,0,Spain,2012,No Popularity Score,,Pedro González Bermúdez,0.0,Selección TCM: Aki Kaurismaki
1944,"$660,000 (estimated)","Jean Yarbrough,Erle C. Kenton,Writers",Jean Yarbrough,1h 15m,"Action,Comedy,Crime",English,,2.1K,United States,Approved,No Popularity Score,"December 15, 1948",Jean Yarbrough,6.6,In Society
1949,No budget,"Charles Lamont,Sammy Lee,Ginny Simms",Charles Lamont,0,"Music,Short",English,,0,United States,9m,No Popularity Score,,Charles Lamont,0.0,Snowtime Jubilee
1955,No budget,"Julien Duvivier,Writers,Peter von Mendelssohn",Julien Duvivier,0,"Drama,Fantasy,Romance","French,German",,349,"France,West Germany",1h 45m,No Popularity Score,"March 18, 1955",Julien Duvivier,6.9,Marianne of My Youth
1952,No budget,"Julien Duvivier,Writers,Giovanni Guareschi",Julien Duvivier,0,Comedy,"Italian,Latin",,4.8K,"Italy,France",1h 47m,No Popularity Score,"June 4, 1952",Julien Duvivier,7.6,The Little World of Don Camillo
1931,No budget,"Alexander Korda,Writer,Marcel Pagnol",Alexander Korda,2h 10m,"Comedy,Drama,Romance",French,,2.6K,France,Not Rated,No Popularity Score,"October 9, 1931",Alexander Korda,7.8,Marius
1968,No budget,"Federico Fellini,Louis Malle,Roger Vadim",Federico Fellini,2h 1m,"Drama,Horror,Mystery","French,Italian,English",,6.9K,"France,Italy",R,No Popularity Score,"May 17, 1968",Federico Fellini,6.4,Spirits of the Dead
1974,No budget,"Georges Lautner,Richard Matheson,Georges Lautner",Georges Lautner,1h 45m,"Drama,Mystery,Thriller",French,,1K,"France,Italy",R,No Popularity Score,"August 28, 1974",Georges Lautner,5.7,Someone Is Bleeding
1949,No budget,"Felix Jacoves,Lyle Robertson,Brandon Beach",Felix Jacoves,8m,Short,English,,51,United States,Approved,No Popularity Score,,Felix Jacoves,5.6,This Theatre and You
1958,No budget,"Mario Monicelli,Writers,Agenore Incrocci",Mario Monicelli,1h 46m,"Comedy,Crime",Italian,,11K,Italy,Not Rated,No Popularity Score,"September 11, 1959",Mario Monicelli,7.9,Big Deal on Madonna Street
1963,No budget,"Dino Risi,Writers,Agenore Incrocci",Dino Risi,1h 27m,Comedy,Italian,,2.8K,"Italy,France",Not Rated,No Popularity Score,"May 27, 1964",Dino Risi,7.4,The Monsters
1963,No budget,"Julien Duvivier,Writers,James Hadley Chase",Julien Duvivier,0,"Crime,Drama",French,,478,"France,Italy",1h 47m,No Popularity Score,"November 13, 1963",Julien Duvivier,7.2,Highway Pick-Up
1990,No budget,"Susan Lustig,Alfred Hitchcock,Anthony Perkins",Susan Lustig,40m,Short,English,,20,United States,PG-13,No Popularity Score,,Susan Lustig,7.4,Alfred Hitchcock: The Art of Making Movies
1963,No budget,"Henry Levin,Writers,William Roberts",Henry Levin,1h 49m,"Comedy,Romance","English,French,German",,810,"United Kingdom,United States",Approved,No Popularity Score,"January 22, 1964",Henry Levin,6.2,Come Fly with Me
2002,"$80,000,000 (estimated)","Simon Wells,H.G. Wells,David Duncan",Simon Wells,1h 36m,"Action,Adventure,Sci-Fi",English,,130K,"United States,United Arab Emirates",PG-13,"2,157","March 27, 2002",Simon Wells,6.0,The Time Machine
1988,No budget,"George Sluizer,Writers,Tim Krabbé",George Sluizer,1h 47m,"Mystery,Thriller","Dutch,French,English",,44K,"Netherlands,France,West Germany",Not Rated,106,"December 20, 1989",George Sluizer,7.7,The Vanishing
TV Movie,No budget,"Richard Schickel,Richard Schickel,Cliff Robertson",Richard Schickel,57m,Documentary,English,,233,United States,1973,No Popularity Score,,Richard Schickel,7.5,The Men Who Made the Movies: Vincente Minnelli
1971,"$4,800,000 (estimated)","George Sherman,John Wayne,Harry Julian Fink",George Sherman,1h 50m,"Drama,Western","English,Spanish",,14K,United States,PG-13,No Popularity Score,"August 13, 1971",George Sherman,7.1,Big Jake
Video,No budget,"Bud Friedgen,Michael J. Sheridan,Bud Friedgen",Bud Friedgen,0,Documentary,No Language,,0,United States,1990,No Popularity Score,,Bud Friedgen,0.0,MGM/UA Home Video Laserdisc Sampler
1973,"$5,500,000 (estimated)","George Roy Hill,David S. Ward,Stars",George Roy Hill,2h 9m,"Comedy,Crime,Drama",English,,279K,United States,PG,"1,616","April 17, 1974",George Roy Hill,8.3,The Sting
1936,"$1,000,000 (estimated)","Cecil B. DeMille,Writers,Waldemar Young",Cecil B. DeMille,1h 53m,"Drama,Western",English,,2.4K,United States,Passed,No Popularity Score,"May 7, 1937",Cecil B. DeMille,6.8,The Plainsman
1944,No budget,"Richard Brooks,Louis Hayward,Stars",Richard Brooks,18m,"Documentary,Short,War",English,,304,United States,Approved,No Popularity Score,,Richard Brooks,7.0,With the Marines at Tarawa
TV Movie,No budget,"James B. Clark,Jack Hively,Sigmund Neufeld Jr.",James B. Clark,1h 29m,"Drama,Family",English,,40,United States,1970,No Popularity Score,,James B. Clark,5.6,Lassie: Well of Love
1953,"$210,000 (estimated)","Eugène Lourié,Writers,Lou Morheim",Eugène Lourié,1h 20m,"Horror,Sci-Fi","English,French",,8.7K,United States,Approved,No Popularity Score,"July 9, 1954",Eugène Lourié,6.6,"The Beast from 20,000 Fathoms"
1960,"FRF 890,063 (estimated)","François Truffaut,Writers,David Goodis",François Truffaut,1h 32m,"Crime,Drama,Thriller","French,English",,21K,France,Not Rated,No Popularity Score,"November 25, 1960",François Truffaut,7.4,Shoot the Piano Player
2023,No budget,"Michael Jolls,Michael Jolls,Greg Sakowicz",Michael Jolls,0,Documentary,English,,15,United States,1h 40m,No Popularity Score,,Michael Jolls,9.2,Holy Ground
2011,"$2,000 (estimated)","Michael Jolls,Writers,Tommy Cheely",Michael Jolls,0,"Short,Comedy",English,,40,United States,28m,No Popularity Score,,Michael Jolls,8.4,6 Rules
2019,No budget,"Sebastián Borensztein,Writers,Sebastián Borensztein",Sebastián Borensztein,1h 56m,"Adventure,Comedy,Crime",Spanish,,13K,"Argentina,Spain",TV-MA,No Popularity Score,"December 20, 2020",Sebastián Borensztein,7.2,Heroic Losers
Video Game,No budget,"Directors,Nao Ito,Hironobu Sakaguchi",Directors,T,"Action,Adventure,Comedy",English,,17,Japan,2001,No Popularity Score,,Directors,7.9,Final Fantasy Chronicles
Video Game,No budget,"Hajime Tabata,Writers,Saori Itamuro",Hajime Tabata,T,"Action,Adventure,Drama",Japanese,,4K,"United States,Japan",2016,No Popularity Score,"November 29, 2016",Hajime Tabata,8.0,Final Fantasy XV
Video Game,No budget,"Motomu Toriyama,Writers,Jun Eishima",Motomu Toriyama,T,"Action,Adventure,Drama",Japanese,,1.1K,Japan,2011,No Popularity Score,,Motomu Toriyama,7.2,Final Fantasy XIII-2
TV Movie,No budget,"Stars,Tony Blair,George W. Bush",Stars,1h,Documentary,"English,German",,8,United Kingdom,2002,No Popularity Score,,Stars,7.0,The Day That Shook the World
Video,No budget,"Dustin Mugford,Stars,Brooke Anderson",Dustin Mugford,58m,"Documentary,History,News",English,,0,United States,2006,No Popularity Score,,Dustin Mugford,0.0,September 11th Revisited
1985,"$2,410,000 (estimated)","Lance Hool,Steve Bing,Larry Levinson",Lance Hool,1h 40m,"Action,Drama,Thriller","English,Vietnamese",,9.3K,United States,R,No Popularity Score,"November 6, 1985",Lance Hool,5.3,Missing in Action 2: The Beginning
1951,"$1,600,000 (estimated)","Christian Nyby,Howard Hawks,Writers",Christian Nyby,1h 27m,"Horror,Sci-Fi",English,,33K,United States,Approved,No Popularity Score,"January 23, 1952",Christian Nyby,7.1,The Thing from Another World
1960,No budget,"Fred Zinnemann,Isobel Lennart,Jon Cleary",Fred Zinnemann,2h 13m,Drama,English,,4.8K,"United Kingdom,United States,Australia",Passed,No Popularity Score,"October 11, 1961",Fred Zinnemann,7.1,The Sundowners
1946,"$250,000 (estimated)","Howard Hawks,Writers,William Faulkner",Howard Hawks,1h 54m,"Crime,Film-Noir,Mystery",English,,90K,United States,Passed,No Popularity Score,"August 6, 1947",Howard Hawks,7.9,The Big Sleep
Video,No budget,"Michael Gingold,Chris Poggiali,Edwin Samuelson",Michael Gingold,Not Rated,Documentary,English,,142,United States,2008,No Popularity Score,,Michael Gingold,7.9,"42nd Street Forever, Volume 3: Exploitation Explosion"
1946,"$1,644,000 (estimated)","Vincente Minnelli,Writers,Edward Chodorov",Vincente Minnelli,1h 56m,"Drama,Film-Noir,Thriller","English,German",,3.5K,United States,Passed,No Popularity Score,"January 14, 1948",Vincente Minnelli,6.5,Undercurrent
1970,"£200,000 (estimated)","Roy Ward Baker,Anthony Hinds,Bram Stoker",Roy Ward Baker,1h 35m,Horror,English,,6.4K,United Kingdom,R,No Popularity Score,"July 28, 1971",Roy Ward Baker,6.1,Scars of Dracula
Video,No budget,"Stars,Humphrey Bogart,Edward G. Robinson",Stars,Unrated,Documentary,English,,55,United States,2001,No Popularity Score,,Stars,6.8,Pulp Cinema
1971,No budget,"Jimmy Sangster,Tudor Gates,Sheridan Le Fanu",Jimmy Sangster,1h 31m,Horror,English,,3.5K,United Kingdom,R,No Popularity Score,"February 22, 1973",Jimmy Sangster,5.7,Lust for a Vampire
1955,No budget,"Aldo Bonaldi,Aldo Quinti,Stars",Aldo Bonaldi,0,"Comedy,Musical",Italian,,28,Italy,1h 38m,No Popularity Score,,Aldo Bonaldi,5.9,Carosello del varietà
1941,No budget,"Vittorio De Sica,Writers,Gherardo Gherardi",Vittorio De Sica,0,"Comedy,Drama,Romance",Italian,,563,Italy,1h 32m,No Popularity Score,"February 24, 1943",Vittorio De Sica,6.6,"Doctor, Beware"
1928,No budget,"Carl Theodor Dreyer,Joseph Delteil,Carl Theodor Dreyer",Carl Theodor Dreyer,1h 54m,"Biography,Drama,History","None,French",,60K,France,Passed,No Popularity Score,"October 25, 1928",Carl Theodor Dreyer,8.1,The Passion of Joan of Arc
2014,"$25,000,000 (estimated)","Tim Story,Writers,Greg Coolidge",Tim Story,1h 39m,"Action,Comedy,Crime","English,Ukrainian",,123K,United States,PG-13,No Popularity Score,"May 14, 2014",Tim Story,6.1,Ride Along
1937,No budget,"Mario Camerini,Amleto Palermi,Mario Camerini",Mario Camerini,1h 26m,"Comedy,Romance","English,Italian",,339,Italy,Approved,No Popularity Score,"September 20, 1948",Mario Camerini,7.0,Il signor Max
1922,"$1,500,000 (estimated)","Allan Dwan,Writers,Douglas Fairbanks",Allan Dwan,2h 23m,"Adventure,Family,Romance",English,,2.5K,United States,Not Rated,No Popularity Score,"March 23, 1923",Allan Dwan,7.1,Robin Hood
1957,No budget,"Austen Jewell,Writers,Elwood Ullman",Austen Jewell,0,"Comedy,Family",English,,172,United States,1h 2m,No Popularity Score,,Austen Jewell,5.4,Looking for Danger
1986,"$19,000,000 (estimated)","Brian Gibson,Mark Victor,Michael Grais",Brian Gibson,1h 31m,Horror,English,,30K,United States,PG-13,No Popularity Score,"August 20, 1986",Brian Gibson,5.7,Poltergeist II: The Other Side
