titre,score,nbre_vote,genres,langue,pays,pegi,duree,annee,popularite_score,director,scenaristes,casting_principal,casting_complet,budget
Rien ni personne,"7,4",20,['Thriller'],['Français'],['France'],1h 18min,0,2023,['No Popularity Score'],Gallien Guibert,Gallien Guibert,"['Gallien Guibert', 'Jean-Baptiste Delafon', 'Gallien Guibert']","['Paul Hamy', 'Suliane Brahim', 'Françoise Lebrun', 'Sam Louwyck', 'Foëd Amara', 'Jina Djemba', 'Franc Bruneau', 'Jonas Dinal', 'Margaux Delafon', 'Nathan Gobereau', 'Spencer Pay', 'Alexandre Meme Clermont', 'Régis Lucas', 'Sami Bouzid', 'Abdelkarim Mahour', 'Joseph Stal', 'Jonathan Sapredan', 'Christian Mupondo']",1 100 000 € (estimé)
Les rois de la piste,"5,2",47,"['Comédie', 'Policier', 'Drame']",['Français'],"['France', 'Belgique']",Tous publics,1h 58min,2023,['No Popularity Score'],Thierry Klifa,Thierry Klifa,"['Thierry Klifa', 'Benoît Graffin', 'Thierry Klifa']","['Fanny Ardant', 'Mathieu Kassovitz', 'Nicolas Duvauchelle', 'Laetitia Dosch', 'Ben Attal', 'Michel Vuillermoz', 'Théo Navarro-Mussy', 'Zbeida Belhajamor', 'Sébastien Houbani', 'Olivier Broche', 'Sabine Haudepin', 'Marie-Christine Orry', 'Grégoire Oestermann', 'Bruno Gouery', 'Estéban', 'Laurent Dassault', 'Fati Berriah', 'Marion Lubat']",['No budget']
Sleep,"6,6","1,9 k","['Comédie', 'Horreur', 'Mystère']",['Coréen'],['Corée du Sud'],Tous publics avec avertissement,1h 35min,2023,['No Popularity Score'],Jason Yu,Jason Yu,"['Jason Yu', 'Jason Yu', 'Casting principal']","['Kim Gook Hee', 'Yoon Kyung-ho', 'Lee Sun-kyun', 'Jung Yu-mi']",['No budget']
Yannick,"7,0","3,7 k","['Comédie', 'Drame']",['Français'],['France'],Tous publics,1h 7min,2023,4 730,Quentin Dupieux,Quentin Dupieux,"['Quentin Dupieux', 'Scénario', 'Quentin Dupieux']","['Raphaël Quenard', 'Pio Marmaï', 'Blanche Gardin', 'Sébastien Chassagne', 'Agnès Hurstel', 'Jean-Paul Solal', 'Laurent Nicolas', 'Mustapha Abourachid', 'Sava Lolov', 'Charlotte Laemmel', 'Franck Lebreton', 'Félix Bossuet', ""Agathe L'Huillier"", 'Caroline Piette', 'Loelia Salvador', 'Lucie Gallo', 'Stéphane Pezerat', 'Arthur Cauras']",['No budget']
Argylle,"5,7",51 k,"['Action', 'Comédie', 'Thriller']",['Anglais'],"['Royaume-Uni', 'États-Unis']",PG-13,2h 19min,2024,46,Matthew Vaughn,Matthew Vaughn,"['Matthew Vaughn', 'Jason Fuchs', 'Casting principal']","['Henry Cavill', 'Bryce Dallas Howard', 'Sam Rockwell', 'Bryan Cranston', 'Daniel Singh', 'Dua Lipa', 'Ariana DeBose', 'Richard E. Grant', 'John Cena', 'Jason Fuchs', 'Tomás Paredes', 'Bobby Holland Hanton', 'Greg Townley', 'Alaa Habib', 'Clementine Vaughn', 'Raagni Sharma', 'Chip', 'Jing Lusi']",200 000 000 $US (estimé)
The Gentlemen,"8,2",74 k,"['Action', 'Comédie', 'Policier']",['Anglais'],"['Royaume-Uni', 'États-Unis']",2024,TV-MA,Série télévisée,3,Création,Création,"['Création', 'Guy Ritchie', 'Casting principal']","['Theo James', 'Kaya Scodelario', 'Daniel Ings', 'Joely Richardson', 'Vinnie Jones', 'Michael Vu', 'Harry Goodwins', 'Stephane Fichet', 'Logan Dean', 'Chanel Cresswell', 'Giancarlo Esposito', 'Alexis Rodney', 'Mason Antonio Fardowe', 'Ray Winstone', 'Ruby Sear', 'John McGrellis', 'Pearce Quigley', 'Josh Finan']",['No budget']
Je verrai toujours vos visages,"7,6",3 k,['Drame'],['Français'],['France'],Tous publics,1h 58min,2023,['No Popularity Score'],Jeanne Herry,Jeanne Herry,"['Jeanne Herry', 'Scénario', 'Jeanne Herry']","['Birane Ba', 'Leïla Bekhti', 'Anne Benoît', 'Dali Benssalah', 'Élodie Bouchez', 'Suliane Brahim', 'Jean-Pierre Darroussin', 'Adèle Exarchopoulos', 'Gilles Lellouche', 'Miou-Miou', 'Pascal Sangla', 'Fred Testot', 'Denis Podalydès', 'Raphaël Quenard', 'Sébastien Houbani', 'Roxane Barazzuol', 'Max Libert', 'Néma Mercier']",['No budget']
Moonfall,"5,1",99 k,"['Action', 'Aventure', 'Science-fiction']","['Anglais', 'Chinois', 'Espagnol', 'Français']","['États-Unis', 'Chine', 'Royaume-Uni', 'Canada', 'Hong Kong']",Tous publics,2h 10min,2022,709,Roland Emmerich,Roland Emmerich,"['Roland Emmerich', 'Roland Emmerich', 'Harald Kloser']","['Halle Berry', 'Patrick Wilson', 'John Bradley', 'Charlie Plummer', 'Kelly Yu', 'Michael Peña', 'Carolina Bartczak', 'Zayn Maloney', 'Ava Weiss', 'Hazel Nugent', 'Chris Sandiford', 'Jonathan Maxwell Silver', 'Eme Ikwuakor', 'Stephen Bogaert', 'Maxim Roy', 'Ryan Bommarito', 'Kathleen Fee', 'Donald Sutherland']",150 000 000 $US (estimé)
Paternel,"6,6",25,['Drame'],['Français'],['France'],Tous publics,1h 33min,2024,['No Popularity Score'],Ronan Tronchot,Ronan Tronchot,"['Ronan Tronchot', 'Ronan Tronchot', 'Ludovic du Clary']","['Grégory Gadebois', 'Géraldine Nakache', 'Lyès Salem', 'Anton Alluin', 'Jacques Boudet', 'Noam Morgensztern', 'Françoise Lebrun', 'Sarah Pachoud', 'Daniel Tarrare', 'Christophe Tek', 'Bruno Le Millin', 'Antoine Linguinou', 'Morgane Lacroix', 'Jean-Claude Aubrun', 'Lucas Partensky', 'Alfred Perrin', 'Brice Notin', 'Aldo Magno']",['No budget']
Laissez-moi,"7,0",95,['Drame'],['Français'],"['France', 'Suisse', 'Belgique']",1h 33min,0,2023,['No Popularity Score'],Maxime Rappaz,Maxime Rappaz,"['Maxime Rappaz', 'Maxime Rappaz', 'Florence Seyvos']","['Jeanne Balibar', 'Thomas Sarbacher', 'Pierre-Antoine Dubey', 'Véronique Mermoud', 'Alexia Hébrard', 'Marie Probst', 'Yvette Théraulaz', 'Adrien Savigny', 'Gianfranco Poddighe', 'Alex Freeman', 'Philippe Schuler', 'Martin Reinartz', 'Etienne Fague', 'Marco Calamandrei', 'José Oliveira', 'Noëlle Panchaud']",['No budget']
Le jeu de la reine,"6,5",451,"['Drame', 'Historique']",['Anglais'],"['Royaume-Uni', 'États-Unis']",2h,0,2023,1 999,Karim Aïnouz,Karim Aïnouz,"['Karim Aïnouz', 'Scénario', 'Henrietta Ashworth']","['Alicia Vikander', 'Jude Law', 'Eddie Marsan', 'Sam Riley', 'Bryony Hannah', 'Mia Threapleton', 'Ruby Bentall', 'Simon Russell Beale', 'Erin Doherty', 'Amr Waked', 'Paul Tinto', 'Patsy Ferran', 'Anna Mawn', 'Junia Rees', 'Edward Harrison', 'Ashleigh Reynolds', 'Ian Drysdale', 'Julian Clapton']",['No budget']
Migration,"6,7",22 k,"['Animation', 'Aventure', 'Comédie']",['Anglais'],['États-Unis'],PG,1h 23min,2023,161,Benjamin Renner,Benjamin Renner,"['Benjamin Renner', 'Guylo Homsy', 'Scénario']","['Kumail Nanjiani', 'Tresi Gazal', 'Elizabeth Banks', 'Caspar Jennings', 'Isabela Merced', 'Danny DeVito', 'Carol Kane', 'Awkwafina', 'Keegan-Michael Key', 'David Mitchell', 'Ozioma Akagha', 'Carlos Alazraqui', 'Valenzia Algarin', 'Will Collyer', 'Abby Craden', 'Django Craig', 'John DeMita', 'Luca Diaz']",70 000 000 $US (estimé)
Eureka,"7,9",58 k,"['Aventure', 'Comédie', 'Drame']",['Anglais'],['États-Unis'],2006–2012,Tous publics,Série télévisée,688,Création,Création,"['Création', 'Andrew Cosby', 'Jaime Paglia']","['Colin Ferguson', 'Salli Richardson-Whitfield', 'Erica Cerra', 'Neil Grayston', 'Joe Morton', 'Chris Gauthier', 'Jordan Danger', 'Niall Matter', 'Ed Quinn', 'Debrah Farentino', 'Tembi Locke', 'Christopher Jacot', 'Kavan Smith', 'Felicia Day', 'Matt Frewer', 'Trevor Jackson', 'Jaime Ray Newman', 'Vanya Asher']",['No budget']
Mis hermanos,"7,2",191,['Drame'],['Espagnol'],['Chili'],1h 25min,0,2021,['No Popularity Score'],Claudia Huaiquimilla,Claudia Huaiquimilla,"['Claudia Huaiquimilla', 'Pablo Greene', 'Claudia Huaiquimilla']","['Iván Cáceres', 'César Herrera', 'Andrew Bargsted', 'Sebastián Ayala', 'Julia Lübbert', 'René Miranda', 'Joaquín Amauta', 'Diego Arboleda', 'Belén Herrera', 'Mario Ocampo', 'Luz Jiménez', 'Robinson Aravena', 'Germán Díaz', 'Ariel Mateluna', 'Claudio Arredondo Medina', 'Otilio Castro', 'Paulina García']",['No budget']
Titre non trouvé,0,0,['No kind'],['No Language'],['No Country'],No Pegi,0,0,['No Popularity Score'],['No Director'],['No Writers'],['No Casting'],['No Casting'],['No budget']
La jeune fille et les paysans,"7,8","4,7 k","['Animation', 'Drame', 'Historique']","['Polonais', 'Latin']","['Pologne', 'Serbie', 'Lituanie']",Tous publics,1h 54min,2023,1 071,DK Welchman,DK Welchman,"['DK Welchman', 'Hugh Welchman', 'Wladyslaw Stanislaw Reymont']","['Kamila Urzedowska', 'Robert Gulaczyk', 'Miroslaw Baka', 'Sonia Mietielica', 'Ewa Kasprzyk', 'Cyprian Grabowski', 'Mateusz Rusin', 'Cezary Lukaszewicz', 'Dorota Stalinska', 'Helena Korczycka', 'Andrzej Mastalerz', 'Andrzej Konopka', 'Sonia Bohosiewicz', 'Maciej Musial', 'Malgorzata Kozuchowska', 'Anna Grzeszczak', 'Matt Malecki', 'Lech Dyblik']",['No budget']
Inchallah un fils,"7,2",985,['Drame'],['Arabe'],"['Jordanie', 'France', 'Arabie saoudite', 'Qatar', 'Égypte']",Tous publics,1h 53min,2023,['No Popularity Score'],Amjad Al Rasheed,Amjad Al Rasheed,"['Amjad Al Rasheed', 'Delphine Agut', 'Rula Nasser']","['Mouna Hawa', 'Haitham Alomari', 'Yumna Marwan', 'Salwa Nakkara', 'Mohammed Al Jizawi', 'Eslam Al-Awadi', 'Seleena Rababah', 'Siranoush Sultanian', 'Serene Huleileh', 'Mohammad Suleiman', 'Mona Shehabi', 'Areej Dababneh', 'Niveen Haddadeen', 'Assaf al Rousan', 'Nahla Al-Moghrabi', 'Ala Al-Riyahi', 'Mohammad Wasfi']",['No budget']
Débâcle,"7,4",820,['Drame'],['Néerlandais'],"['Belgique', 'Pays-Bas']",12 avec avertissement,1h 51min,2023,['No Popularity Score'],Veerle Baetens,Veerle Baetens,"['Veerle Baetens', 'Veerle Baetens', 'Maarten Loix']","['Charlotte De Bruyne', 'Sebastien Dewaele', 'Spencer Bogaert', 'Femke Heijens', 'Naomi Velissariou', 'Rosa Marchant', 'Amber Metdepenningen', 'Simon Van Buyten', 'Charlotte Van Der Eecken', 'Femke Van der Steen', 'Matthijs Meertens', 'Anthony Vyt']",['No budget']
Bob Marley: One Love,"6,4",19 k,"['Biographique', 'Drame', 'Musical']",['Anglais'],['États-Unis'],PG-13,1h 47min,2024,100,Reinaldo Marcus Green,Reinaldo Marcus Green,"['Reinaldo Marcus Green', 'Scénario', 'Terence Winter']","['Kingsley Ben-Adir', 'Lashana Lynch', 'James Norton', 'Tosin Cole', 'Umi Myers', 'Anthony Welsh', 'Nia Ashi', 'Aston Barrett Jr.', 'Anna-Share Blake', ""Gawaine 'J-Summa' Campbell"", 'Naomi Cowan', 'Alexx A-Game', 'Michael Gandolfini', 'Quan-Dajai Henriques', 'David Marvin Kerr Jr.', 'Hector Donald Lewis', 'Abijah Livingston', 'Nadine Marshall']",['No budget']
Boîte noire,"7,2",15 k,"['Drame', 'Mystère', 'Thriller']","['Français', 'Anglais']","['France', 'Belgique']",Tous publics,2h 9min,2021,['No Popularity Score'],Yann Gozlan,Yann Gozlan,"['Yann Gozlan', 'Scénario', 'Nicolas Bouvet-Levrard']","['Pierre Niney', 'Lou de Laâge', 'André Dussollier', 'Sébastien Pouderoux', 'Olivier Rabourdin', 'Guillaume Marquet', 'Mehdi Djaadi', 'Anne Azoulay', 'Aurélien Recoing', 'Grégori Derangère', 'André Marcon', 'Octave Bossuet', 'Marie Dompnier', 'Philippe Maymat', 'Boris Ravaine', 'Lorène Devienne', 'Claire Viville', 'Niki Zischka']",['No budget']
Blue Giant,"7,9","1,6 k","['Animation', 'Drame', 'Musical']",['Japonais'],['Japon'],Tous publics,2h,2023,['No Popularity Score'],Yuzuru Tachikawa,Yuzuru Tachikawa,"['Yuzuru Tachikawa', 'NUMBER 8', ""Shin'ichi Ishizuka""]","['Yutaka Aoyama', 'Masayuki Katô', 'Sayaka Kinoshita', 'Hidenobu Kiuchi', 'Yusuke Kondo', 'Shôtarô Mamiya', 'Kenji Nomura', 'Amane Okayama', 'Gô Shinomiya', 'Mirei Suda', ""Shin'ya Takahashi"", 'Hiroki Tôchi', 'Yuki Yamada']",['No budget']
Perfect Days,"7,9",30 k,['Drame'],"['Japonais', 'Anglais']","['Japon', 'Allemagne']",Tous publics,2h 4min,2023,94,Wim Wenders,Wim Wenders,"['Wim Wenders', 'Wim Wenders', 'Takuma Takasaki']","['Koji Yakusho', 'Tokio Emoto', 'Arisa Nakano', 'Miyako Tanaka', 'Long Mizuma', 'Soraji Shibuya', 'Aoi Iwasaki', 'Kisuke Shimazaki', 'Yuriko Kawasaki', 'Aki Kobayashi', 'Bunmei Harada', 'Min Tanaka', 'Reina', 'Shunsuke Miura', 'Gan Furukawa', 'Atsushi Fukazawa', 'Taijirô Tamura', 'Masahiro Kômoto']",['No budget']
Tiger Stripes,"6,1",632,['Horreur'],['Malais'],"['Malaisie', 'Taïwan', 'France', 'Allemagne', 'Pays-Bas', 'Singapour', 'Qatar', 'Indonésie']",13,1h 35min,2023,['No Popularity Score'],Amanda Nell Eu,Amanda Nell Eu,"['Amanda Nell Eu', 'Amanda Nell Eu', 'Samm Haillay']","['Zafreen Zairizal', 'Deena Ezral', 'Piqa', 'Shaheizy Sam', 'June Lojong', 'Khairunazwan Rodzy', 'Fatimah Abu Bakar']",['No budget']
Los delincuentes,"6,8","2,7 k","['Comédie', 'Policier', 'Drame']",['Espagnol'],"['Argentine', 'Luxembourg', 'Brésil', 'Chili']",Unrated,3h 9min,2023,3 793,Rodrigo Moreno,Rodrigo Moreno,"['Rodrigo Moreno', 'Rodrigo Moreno', 'Casting principal']","['Daniel Elías', 'Esteban Bigliardi', 'Margarita Molfino', 'Germán De Silva', 'Mariana Chaud', 'Gabriela Saidon', 'Cecilia Rainero', 'Javier Zoro', 'Lalo Rotavería', 'Iair Said', 'Fabian Casas', 'Adriana Aizemberg', 'Yessica Daina Gonzalez Capello', 'Natali Carranza', 'Erasmo Colombo', 'Jonathan Da Rosa', 'Franco de la Puente', 'Facundo Gigena']",['No budget']
Mystère à Venise,"6,5",111 k,"['Policier', 'Drame', 'Horreur']","['Anglais', 'Italien', 'Français', 'Latin']",['États-Unis'],Tous publics avec avertissement,1h 43min,2023,344,Kenneth Branagh,Kenneth Branagh,"['Kenneth Branagh', 'Michael Green', 'Agatha Christie']","['Kenneth Branagh', 'Michelle Yeoh', 'Jamie Dornan', 'Tina Fey', 'Dylan Corbett-Bader', 'Amir El-Masry', 'Riccardo Scamarcio', 'Fernando Piloni', 'Lorenzo Acquaviva', 'David Menkin', 'Camille Cottin', 'Kelly Reilly', 'Jude Hill', 'Yaw Nimako-Asamoah', 'Clara Duczmal', 'Rowan Robinson', 'Emma Laird', 'Stella Harris']",60 000 000 $US (estimé)
Wonka,"7,0",133 k,"['Aventure', 'Comédie', 'Famille']",['Anglais'],"['États-Unis', 'Royaume-Uni', 'Canada']",Tous publics,1h 56min,2023,24,Paul King,Paul King,"['Paul King', 'Scénario', 'Roald Dahl']","['Timothée Chalamet', 'Gustave Die', 'Murray McArthur', 'Paul G. Raymond', 'Bertie Caplan', 'Isy Suttie', 'Kobna Holdbrook-Smith', 'Matilda Tucker', 'Tom Davis', 'Olivia Colman', 'Calah Lane', 'Paterson Joseph', 'Matt Lucas', 'Mathew Baynton', 'Freya Parker', 'Keegan-Michael Key', 'Jim Carter', 'Rakhee Thakrar']",125 000 000 $US (estimé)
La Bête,"6,7","1,2 k","['Drame', 'Romantique', 'Science-fiction']","['Français', 'Anglais']","['France', 'Canada']",2h 26min,0,2023,544,Bertrand Bonello,Bertrand Bonello,"['Bertrand Bonello', 'Scénario', 'Bertrand Bonello']","['Léa Seydoux', 'George MacKay', 'Guslagie Malanda', 'Dasha Nekrasova', 'Martin Scali', 'Elina Löwensohn', 'Marta Hoskins', 'Julia Faure', 'Kester Lovelace', 'Felicien Pinot', 'Laurent Lacotte', 'Pierre-François Garel', 'Céline Carrère', 'Lukas Ionesco', 'Hortense Gélinet', 'Pauline Jacquard', 'Alice Barnole', 'Theo Hakola']",['No budget']
Ferrari,"6,5",40 k,"['Biographique', 'Drame', 'Historique']",['Anglais'],"['États-Unis', 'Royaume-Uni', 'Italie', 'Arabie saoudite']",R,2h 10min,2023,143,Michael Mann,Michael Mann,"['Michael Mann', 'Troy Kennedy Martin', 'Brock Yates']","['Adam Driver', 'Shailene Woodley', 'Giuseppe Festinese', 'Alessandro Cremona', 'Derek Hill', 'Leonardo Caimi', 'Penélope Cruz', 'Gabriel Leone', 'Michele Savoia', 'Jacopo Bruno', 'Domenico Fortunato', 'Damiano Neviani', 'Giuseppe Bonifati', 'Franca Abategiovanni', 'Marino Franchitti', 'Valentina Bellè', 'Luciano Miele', 'Daniela Piperno']",110 000 000 $US (estimé)
L'Événement,"7,4",11 k,['Drame'],['Français'],['France'],Tous publics avec avertissement,1h 40min,2021,['No Popularity Score'],Audrey Diwan,Audrey Diwan,"['Audrey Diwan', 'Scénario', 'Marcia Romano']","['Anamaria Vartolomei', 'Kacey Mottet Klein', 'Luàna Bajrami', 'Louise Orry-Diquéro', 'Louise Chevillotte', 'Pio Marmaï', 'Sandrine Bonnaire', 'Leonor Oberson', 'Anna Mouglalis', 'Cyril Metzger', 'Eric Verdin', 'Madeleine Baudot', 'Alice de Lencquesaing', 'Fabrizio Rongione', 'Isabelle Mazin', 'Julien Frison', 'Édouard Sulpice', 'Leïla Muse']",5 200 000 € (estimé)
Le Livre des solutions,"6,2","1,9 k","['Comédie', 'Drame']","['Français', 'Anglais']",['France'],Tous publics,1h 42min,2023,['No Popularity Score'],Michel Gondry,Michel Gondry,"['Michel Gondry', 'Michel Gondry', 'Casting principal']","['Pierre Niney', 'Blanche Gardin', 'Françoise Lebrun', 'Frankie Wallach', 'Camille Rutherford', 'Mourad Boudaoud', 'Vincent Elbaz', 'Sting', 'Sacha Bourdo', 'Christian Prat', 'Michèle Gary', 'Corinne Mariotto', 'Nelly Pulicani', 'Ambre Gollut', 'Patrick Mollo', 'Jacques Mazeran', 'Mama Prassinos', 'Dominique Valadié']",['No budget']
Le Pire voisin au monde,"7,5",157 k,"['Comédie', 'Drame']","['Anglais', 'Espagnol']","['Suède', 'États-Unis']",Tous publics,2h 6min,2022,629,Marc Forster,Marc Forster,"['Marc Forster', 'Fredrik Backman', 'Hannes Holm']","['Tom Hanks', 'Mariana Treviño', 'Rachel Keller', 'John Higgins', 'Tony Bingham', 'Lily Kozub', 'Mack Bayda', 'Cameron Britton', 'Juanita Jennings', 'Peter Lawson Jones', 'Max Pavel', 'Kailey Hyman', 'Peter Sipla', 'Patrick Stanny', 'Allyson R. Hood', 'Carl Clemons', 'Connor McCanlus', 'Kristy Nolen']",50 000 000 $US (estimé)
The Sweet East,"6,5","1,5 k",['Drame'],"['Anglais', 'Arabe', 'Langues apaches']",['États-Unis'],1h 44min,0,2023,1 689,Sean Price Williams,Sean Price Williams,"['Sean Price Williams', 'Nick Pinkerton', 'Casting principal']","['Talia Ryder', 'Earl Cave', 'Simon Rex', 'Ayo Edebiri', 'Jeremy O. Harris', 'Jacob Elordi', 'Rish Shah', 'Gibby Haynes', 'Jack Irv', 'Mazin Akar', 'Khalil Amonette', 'Cameron Andre', 'Betsey Brown', 'Jonathan Daniel Brown', 'Peter Buntaine', 'Kaili Corcoran', 'Michelle Ellyse', 'Volkan Eryaman']",['No budget']
Les Passagers de la nuit,"7,5",22 k,"['Film noir', 'Thriller']",['Anglais'],['États-Unis'],Tous publics,1h 46min,1947,['No Popularity Score'],Delmer Daves,Delmer Daves,"['Delmer Daves', 'Delmer Daves', 'David Goodis']","['Humphrey Bogart', 'Lauren Bacall', 'Bruce Bennett', 'Agnes Moorehead', ""Tom D'Andrea"", 'Clifton Young', 'Douglas Kennedy', 'Rory Mallinson', 'Houseley Stevenson', 'John Alvin', 'John Arledge', 'Leonard Bremen', 'Clancy Cooper', 'Deborah Daves', 'Michael Daves', 'Vince Edwards', 'Tom Fadden', 'Bob Farber']",1 600 000 $US (estimé)
Cabrini,"7,9","3,3 k","['Biographique', 'Drame']",['Anglais'],['États-Unis'],PG-13,2h 22min,2024,146,Alejandro Monteverde,Alejandro Monteverde,"['Alejandro Monteverde', 'Scénario', 'Rod Barr']","[""Cristiana Dell'Anna"", 'John Lithgow', 'David Morse', 'Giancarlo Giannini', 'Romana Maggiora Vergano', 'Federico Ielapi', 'Patch Darragh', 'Liam Campora', 'Jeremy Bobb', 'Mina Severino', 'Rolando Villazón', 'Montserrat Espadalé', 'Fausto Russo Alesi', 'Virginia Bocelli', 'Andrew Polk', 'Giacomo Rocchini', 'Giampiero Judica', 'Federico Castelluccio']",50 000 000 $US (estimé)
Le retour des morts vivants,"7,3",69 k,"['Comédie', 'Horreur', 'Science-fiction']",['Anglais'],['États-Unis'],12,1h 31min,1985,1 639,Dan O'Bannon,Dan O'Bannon,"[""Dan O'Bannon"", 'Scénario', 'Rudy Ricci']","['Clu Gulager', 'James Karen', 'Don Calfa', 'Thom Mathews', 'Beverly Randolph', 'John Philbin', 'Jewel Shepard', 'Miguel A. Núñez Jr.', 'Brian Peck', 'Linnea Quigley', 'Mark Venturini', 'Jonathan Terry', 'Cathleen Cordell', 'Drew Deighan', 'James Dalesandro', 'John Durbin', 'David Bond', 'Bob Libman']",4 000 000 $US (estimé)
Au fil des saisons,"6,9",26,"['Comédie', 'Drame']",['Anglais'],"['Belgique', 'France']",1h 33min,0,2024,['No Popularity Score'],Marco La Via,Marco La Via,"['Marco La Via', 'Hanna Ladoul', 'Marco La Via']","['Catherine Deneuve', 'Andrea Riseborough', 'Morgan Saylor', 'Naima Hebrail Kidjo', 'John Robinson', 'Joseph Olivennes', 'Ken Samuels', 'Maria McClurg']",['No budget']
Une affaire de détails,"6,3",125 k,"['Policier', 'Drame', 'Mystère']","['Anglais', 'Espagnol', 'Arabe']",['États-Unis'],Tous publics avec avertissement,2h 8min,2021,36,John Lee Hancock,John Lee Hancock,"['John Lee Hancock', 'John Lee Hancock', 'Casting principal']","['Denzel Washington', 'Rami Malek', 'Jared Leto', 'Chris Bauer', 'Michael Hyatt', 'Terry Kinney', 'Natalie Morales', 'Isabel Arraiza', 'Joris Jarsky', 'Glenn Morshower', 'Sofia Vassilieva', 'Jason James Richter', 'John Harlan Kim', 'Frederick Koehler', 'Judith Scott', 'Maya Kazan', 'Tiffany Gonzalez', 'Anna McKitrick']",30 000 000 $US (estimé)
Inestimable,"5,5",99,['Comédie'],['Français'],['France'],Tous publics,1h 33min,2023,['No Popularity Score'],Eric Fraticelli,Eric Fraticelli,"['Eric Fraticelli', 'Félix Biancamaria', 'Eric Fraticelli']","['Didier Bourdon', 'Eric Fraticelli', 'Philippe Corti', 'Michel Vuillermoz', 'Lelia Fraticelli', 'Alexandra Franchi', 'Véronique Volta', 'Roselyne de Nobili', 'Didier Ferrari', 'Samuel Torres Bianconi', 'Jean-François Perrone', 'Denis Braccini', 'Frederic Poggi', 'Michel Ferracci', 'François Berlinghi', 'Marie-Ange Geronimi', 'Jean-Pierre Ely', 'Julien Santini']",['No budget']
Qu'est-ce qu'on a tous fait au Bon Dieu ?,"6,1","3,6 k",['Comédie'],"['Français', 'Chinois', 'Arabe', 'Allemand', 'Anglais']","['France', 'Belgique']",Tous publics,1h 38min,2021,['No Popularity Score'],Philippe de Chauveron,Philippe de Chauveron,"['Philippe de Chauveron', 'Scénario', 'Guy Laurent']","['Christian Clavier', 'Chantal Lauby', 'Ary Abittan', 'Medi Sadoun', 'Frédéric Chau', 'Noom Diawara', 'Frédérique Bel', 'Émilie Caen', 'Élodie Fontan', 'Alice David', ""Pascal N'Zonzi"", 'Salimata Kamate', 'Tatiana Rojo', 'Daniel Russo', 'Nanou Garcia', 'Abbes Zahmani', 'Farida Ouchani', 'Bing Yin']",['No budget']
Demon Slayer: Kimetsu No Yaiba - En route vers l'entraînement des piliers,"6,6","3,4 k","['Animation', 'Action']",['Japonais'],['Japon'],R,1h 44min,2024,2 176,Haruo Sotozaki,Haruo Sotozaki,"['Haruo Sotozaki', 'Koyoharu Gotouge', 'Casting principal']","['Natsuki Hanae', 'Kengo Kawanishi', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono']",['No budget']
Il n'y a pas d'ombre dans le désert,"6,0",16,['Drame'],['Français'],"['France', 'Israël']",1h 41min,0,2024,['No Popularity Score'],Yossi Aviram,Yossi Aviram,"['Yossi Aviram', 'Yossi Aviram', 'Valeria Bruni Tedeschi']","['Valeria Bruni Tedeschi', 'Yona Rozenkier', 'Germaine Unikovsky', 'Jackie Berroyer', 'Meirav Shirom', 'Itay Ben Ami', 'Menachem Lang', 'Zohar Wexler', 'Margeaux Lampley', 'Mai Weisz', 'Cordelia Lange', 'Shiraz Tzarfati', 'Edme Bismuth', 'Armando Bismuth', 'Aviv Telem', 'Uri Falk', 'Alexander Aviram']",['No budget']
